How many times a week do you exercise?,How many times a week do you wash your hair?,Allergies?,Linear Math?,"Of the dozen colors, what is your hair color?",Longest Hair Length?,"Of the dozen colors, what is your eye color?",School Club?,Favorite Variety of Cookie?,Favorite flavor of ice cream?,Most Favorite Pizza Topping?,Least Favorite Pizza Topping?,Favorite computer language of those options?,Avg HRS SLEEP,Breakfast Drink,Usual night sleep,Median Sleep,Loaded Question: Watching Sports,Cup Mouth Down or Up?,Elevator Usage?,Left or right foot going up stairs?,Raise one eyebrow?,Vulcan sign of greeting?,Wiggle Ears?,Wiggle Ears Separately?,Watch Hand?,Right or left Footed?  Going up Stairs?,Shirt Color now?,How do you like your eggs?,Can you Juggle?,Skydiver?,Shave Frequency?,Like Dressing Up?,Can you tie a mens tie?,French Braid Hair?,Snack Food Preference?,Glasses of Water?,Do you wear glasses?,Eye lens issues?,Toilet Paper Roll Out Over Front,Do you have a pet?,Are you a dog person?,Rat Person?,Turtle Person?,Like to play Music?,Like Baking?,Like Wood Working?,Sewing?,Gardening?,Photography?,Electronics?,Building Boats?,Doll Houses?,Making Engines?,Making Miniatures?,Raising Chickens?,Horseback riding?,Teaching Others?,Helping Children?,Playing Cards?,Playing Computer Games?,Watching Movies?,Poetry?,Shopping?,What order do you put your socks and pants on?,WantAssignmentToGroup,Watch Hand?
3,3_to_4,No,1,Yellow,SixToTen,Blue,Environment,Macadamia nut,pistachio,Onions,Bacon,JavaScript,5,Coffee,5,5,About average,Mouth down, the stairs are always faster.,right,no,yes,no,no,right,right,blue,Scrambled,no,no,Twice a week,No,No_I_CanKnot, of course. Everybody can do that!,Popcorn,5 to 8,Yes.,I use corrective lenses or contacts,0,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,pants before socks,yes,right
5,7," Yes, hey fever and typical allergies?",1,Brown,SixToTen,Green,Volunteering,Macadamia nut,cookies and cream,Pineapples,Anchovies (fish),ASSEMBLY (Intel or Motorola),6-8,orange juice,6-8,7,Not at all,Mouth up, the stairs are always faster.,left,no,no,no,no,right,ambidextrous,orange,Fried,no,no,Shave? Never touch the stuff!,No,Ties? Never touch the stuff., of course. Everybody can do that!,carrots and cellery,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,dont know,no,left
2,7,No,1,Brown,SixUnder,Brown,NerdHeard,Sugar cookies,Cake Batter,Not Applicable,Not Applicable,SNOWBOL,8,Melted icecream,8,8,Somewhat,Mouth up, the stairs are always faster.,right,yes,yes,yes,no,left,right,gray,Hate eggs,no,no,Twice a week,Yes,Half Windsor,Hair? Never touch the stuff.,Tortilla chips,3 to 4,"No, not yet."," I have perfect vision, so far.",1,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,pants before socks,yes,right
0 Exercise? Never touch the stuff.,3_to_4," Yes, hey fever and typical allergies?",1,Brown,SixUnder,Brown,none,Chocolate chip,coffee,Pepperoni,Anchovies (fish),JavaScript,6,coffee,6,6,Not at all,Mouth up, the stairs are always faster.,ambidextrous,no,yes,no,no,right,right,black,Scrambled,no,no,Twice a week,Yes,Yes - Half Windsor,No,bacon,5 to 8,"No, not yet."," I have perfect vision, so far.",out over the front,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,pants before socks,no,right
2,5_to_6,No,1,Brown,OverTen,Green,Tech Crew,Peanut butter,Mint,Pineapples,Anchovies ,ASSEMBLY (Intel or Motorola),7,Tea,7,7,Somewhat,Mouth down, the stairs are always faster.,right,yes,yes,no,no,right,right,blue,Omlette,no,no,Twice a week,Yes,Half Windsor,No,Popcorn,3 to 4,Yes.,I use corrective lenses or contacts,1,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,pants before socks,yes,right
3,5_to_6," Yes, hey fever and typical allergies?",1,Black,SixUnder,Brown,humane society,Chocolate chip,chocolate,Pepperoni,Anchovies (fish),JavaScript,6-8,fruit juice,7.5,7,Not at all,Mouth down,I usually ride the elevator.,left,yes,yes,no,no,right,dont know,gray,Scrambled,yes,no,Once a week,No,Ties? Never touch the stuff.,No,carrots and cellery,5 to 8,Yes.,I use corrective lenses or contacts,out over the front,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,pants before socks,no,left
5,5_to_6," No, never touch the stuff.",1,Black,SixUnder,Brown,none,Chocolate chip,pistachio,Pepperoni,Anchovies (fish),Ruby,7,water,7,6,Somewhat,Mouth up,I usually ride the elevator.,right,no,yes,yes,no,left,right,gray,Over easy,no,no,Twice a week,No,Ties? Never touch the stuff.,No,bacon,1 to 2,Yes.,I use corrective lenses or contacts,out over the front,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,pants before socks,no,right
0,7,No,1,Black,SixUnder,Brown,none,Sugar cookies,vanilla,Onions,Anchovies ,Ruby,6,Fruit juice,6,6,Somewhat,Mouth up, the stairs are always faster.,left,yes,no,no,no,right,left,gray,Scrambled,no,no,Twice a week,Yes,Half Windsor,No,Tortilla chips,1 to 2,Yes.,I use corrective lenses or contacts,1,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,pants before socks,yes,left
2,7," No, never touch the stuff.",0,Black,SixToTen,Brown,food club,Chocolate chip,caramel,Pepperoni,Anchovies (fish),Ruby,7,milk,8,7,Somewhat,Mouth down, the stairs are always faster.,right,no,yes,no,no,left,right,gray,Over easy,no,no,Twice a week,No,Yes - Full Windsor,No,bacon,1 to 2,"No, not yet."," I have perfect vision, so far.",out over the front,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,pants before socks,no,right
3,5_to_6,No,1,Black,SixUnder,Brown,none,Chocolate chip,coffee,Sausage,Black Olives,JavaScript,7,Coffee,7,7,Not at all,Mouth up,Wait. There is an elevator in the building?,right,yes,no,no,no,right,right,blue,Fried,yes,no,Once a week,Yes,Half Windsor,No,M&Ms or candy,3 to 4,"No, not yet."," I have perfect vision, so far.",1,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,pants before socks,yes,right
